id,rank,argument,context,stance,topic,Manual ,train,test
1196,0.166666667,Gambling activity is a symptom of other societal ills. Fix the sources of the problem and gambling activity will be much less common and destructive.,Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
3885,0.166666667,"Something good in one country may be bad in other country. So, we should consider only the universal facts such as violence, obscenity, using negative languages etc. Social media should filter this.",Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
4028,0.166666667,"The current benchmark for autonomous cars is a guarantee of no injuries or fatalities, but in comparison we accept the risk of driving. Autonomous cars simply need to be better than human drivers to be justified.",We-should-promote-autonomous-cars,con,Autonomous Cars,1,TRUE,FALSE
2796,0.181818182,"People who express their opinion on social media are usually the loudest and more extreme, so any attempt to understand what the poeple want by a politician is doomed to be wrong and disruptive",Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
3424,0.181818182,Social media encourages replacing the natural face to face contact with a digital way of contact that lacking the nuances of intonation and body language.,Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
994,0.181818182,Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.,We-should-abandon-vegetarianism,con,Cryptocurrency,1,FALSE,TRUE
156,0.181818182,Animals does not feel pain the way we do. Animal suffering is not the same as Human suffering and therefore it is not as immoral.,We-should-abandon-vegetarianism,con,Cryptocurrency,1,TRUE,FALSE
4660,0.181818182,Violent video games may decrease crime because people are busy playing the games instead of committing violent acts.,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1,FALSE,TRUE
5178,0.181818182,fossil fuels are bad for the country because of your country dont have them they have to be in an inferior position to ather countrys.,We-should-ban-fossil-fuels,pro,Fossil Fuels,1,TRUE,FALSE
916,0.181818182,Doping happens anyway and when it is illigale the sport is unfair to the regular athelits,We-should-legalize-doping-in-sport,pro,Doping in Sport,1,FALSE,TRUE
404,0.181818182,"Autonomous cars will create a huge reduction in transplant organs, leading to horrible murders",We-should-limit-autonomous-cars,pro,Autonomous Cars,1,TRUE,FALSE
898,0.1875,Dog fail videos are hilarious and boost the spirits of people who watch them. Laughter is the best medicine.,Social-media-brings-more-good-than-harm,con,Social Media,1,FALSE,TRUE
1266,0.2,"Gambling has good attributes to it. It does make people happy, often reduces pressure, and gives people hope. The latter is especially true for the poor - whose lives are otherwise often hopeless.",Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
1356,0.2,Gambling is cool - if successful it could change not only ones life but also could change an entire family.,Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
2946,0.2,"Regulation is bad, there is a market for gambling so it should be allowed. let market decide",Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
2894,0.2,"Privacy protection law may affect new entrants to some business as they don't have the capabilities (legal, procees etc.) that bigger companies have. A not well thought data protection law may create a barrier to entry",We-should-discourage-information-privacy-laws,con,Information Privacy Laws,1,FALSE,TRUE
2900,0.2,"Privacy will decrease, argues David Brin in his book ""The Transparent Society"". Miniature cameras and microphones, mosquito size or smaller ""drones"", means privacy of centrally stored info becomes less vital.",We-should-discourage-information-privacy-laws,con,Information Privacy Laws,1,TRUE,FALSE
2149,0.2,"Like vitamins, doping can be healthy in correct amount, sports give a controlled environmentto improve the field",We-should-legalize-doping-in-sport,pro,Doping in Sport,1,FALSE,TRUE
152,0.214285714,"Animals are a lot like ants, they are alive but do not live meaningful lives like humens, just like were allowed to kill ants we should be allowed to eat meat and not be vegetarian",We-should-abandon-vegetarianism,con,Cryptocurrency,1,TRUE,FALSE
3524,0.214285714,Social media has the potential to do good only if designed for good. The algorithms of today's largest platforms as facebook are focused on adds and profit and not collective good.,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
2584,0.222222222,"Online shopping is simply a new way to shop. It's innovation, I don't see why we should go backwards.",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1,TRUE,FALSE
3044,0.222222222,Since people believe the grass is always greener in the other feed they don't feel comfortable sharing of their hardships and iddues that leads to an isolated sociey unaware of the things people are going through.,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
3445,0.222222222,Social media favors tech savvy people and do not reach older people. Hence a major part of the population do not participate in the sharing of knowledge going on in social media which could challenge democrazy.,Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
5355,0.222222222,"social media gets lots of people addicted to it, making them constantly worried about their posts and causes them stress instead of living the moment with the people around them",Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
243,0.230769231,Athletes who take steroids are tearing more tendons and ligaments because their muscles have gotten too big for their bodies.,We-should-ban-doping-in-sport,con,Doping in Sport,1,TRUE,FALSE
5252,0.235294118,"it is moral to eat meat as animals are less developed than humans and the circle of life is built on predator eating prey, and they are prey",We-should-abandon-vegetarianism,con,Cryptocurrency,1,FALSE,TRUE
1047,0.25,Everything we do involves risk which is effectively gambling so it makes no sense to seek its banning.,Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
1209,0.25,"Gambling can be addictive, but then so can watching television or working out, so banning something on the grounds of addiction is not compelling.",Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
4113,0.25,"The human seller can help greatly to the shopper - he knows the market well, the offered product, and can use its experience to find the best product for the shopper",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1,TRUE,FALSE
1762,0.25,"In a virtual world, individual thoughts (which might be violating societal norms) are becoming more evident as one can post them anonymously.",Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
2666,0.25,"Pain and suffer are bad, with less animals dying because of vegetarianism, the world will be a better place",We-should-adopt-vegetarianism,pro,Vegetarianism,1,TRUE,FALSE
5336,0.25,sheep's digesting gases are known to have bad effect on the ozone layer of the atmosphere. if more people will be vegetarian consequently their will be less sheep in the world.,We-should-adopt-vegetarianism,pro,Vegetarianism,1,FALSE,TRUE
1042,0.25,Everyone who watches violent things ended up being violent himself and childhood is the time when we take inspiration from what we see and what we like.,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,TRUE,FALSE
4813,0.25,We should legalize doping in sport because it is unfair to impose one group's ethical standards for what is and is not fair in sport onto everyone else without their consent.,We-should-legalize-doping-in-sport,pro,Doping in Sport,1,FALSE,TRUE
5103,0.25,"alternative energy sources also have externalities, such as the heating of water in hydroelectric systems, the destruction of natural habitats for the field required to produce solar energy etc. we might actually make climate change worse.",We-should-not-ban-fossil-fuels,con,Fossil Fuels,1,TRUE,FALSE
103,0.266666667,"Agricultural crop fields also kill animals, so vegetarianism doesn't actually save animal life.",We-should-abandon-vegetarianism,con,Cryptocurrency,1,FALSE,TRUE
603,0.266666667,"Being vegetarians makes it harder for people you eat with, since they have to accommodate your harsh preference.",We-should-abandon-vegetarianism,con,Cryptocurrency,1,TRUE,FALSE
4858,0.272727273,We should not ban gambling because it is a victim-less crime.,Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
4859,0.272727273,We should not ban gambling because it is unenforceable and undermines people's respect for the law as a whole.,Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
4861,0.272727273,We should not ban gambling because there is no compelling public interest not to have people gambling.,Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
1632,0.272727273,"I think social media shall develop more to increasing people engagement area and not on adv, behaviour data collecting, marketing, selling and monetisation",Social-media-brings-more-good-than-harm,con,Social Media,1,TRUE,FALSE
2966,0.272727273,"SM brings the information, knowledge that you can never have before, the news feed is based on what you're interested in &amp; the people you follow, so it's you who decide whether it's harmful or not",Social-media-brings-more-good-than-harm,con,Social Media,1,FALSE,TRUE
3175,0.272727273,"Social media allowes people to stay in touch with eachother, by sending masseges, sharing pictures, and forming groups.",Social-media-brings-more-good-than-harm,con,Social Media,1,TRUE,FALSE
2949,0.272727273,Renewable energy is being developed and in the mean time it is just cheaper to use Fossil fuels,We-should-not-ban-fossil-fuels,con,Fossil Fuels,1,FALSE,TRUE
880,0.272727273,Development of an automotive vehicle should not be stopped. It is possible to reduce the burden on a person driving a car as an occupation by automatic driving.,We-should-promote-autonomous-cars,con,Autonomous Cars,1,TRUE,FALSE
4026,0.277777778,The cost of preventing the disease is cheper then curing it thus is will save mony for the medical institution,Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1,FALSE,TRUE
2465,0.277777778,"Online shopping brings more good than harm because it is harder for governments to regulate, which means that repressive laws have less control over adults' decisions.",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1,TRUE,FALSE
4255,0.277777778,The switch to autonomous cars will make people very angry since they will have to get rid of all of their old cars even if they still work.,We-should-limit-autonomous-cars,pro,Autonomous Cars,1,FALSE,TRUE
1126,0.285714286,"Forcing people to taking vaccination is like forcing them to pay seatbelt , it's a simple act that can prevent a lot of pain , and we already forcing them to do that",Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1,TRUE,FALSE
1536,0.285714286,"Hard to help those in need. A black market is likely to be formed, but now we won't know who the gamblers are, and won't be able to provide help to their suffering family.",Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
4133,0.285714286,"The internet is better than sitting in front of the TV, at least you might learn something.",Social-media-brings-more-good-than-harm,con,Social Media,1,TRUE,FALSE
3298,0.285714286,Social media can be addictive for some people and therefore should be treated as drugs.,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
3040,0.285714286,"Since not controll by any bank, when the value it has crashes there is no relayble way to increase it again.",We-should-abandon-cryptocurrency,con,Cryptocurrency,1,TRUE,FALSE
218,0.285714286,"At its core, cryptocurrency is a medium of exchange but lacks an important component, practical and convenient use. Its only when cryptocurrencies replace traditional payment methods that we will start to see worldwide adoption.",We-should-adopt-cryptocurrency,pro,Cryptocurrency,1,FALSE,TRUE
4579,0.285714286,Video game rating models are not sufficient to protect minors as they lack global harmonisation,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,TRUE,FALSE
4839,0.285714286,We should not ban fossil fuels because future technology will likely be able to undo their harms to the environment.,We-should-not-ban-fossil-fuels,con,Fossil Fuels,1,FALSE,TRUE
2390,0.285714286,Not supporting autonomous cars is having the will to reverse the progress of all humanity to levels prior to the Bronze Age. Man must seek happiness even if it leads to its elimination by sock-shaped-mutan-alien.,We-should-promote-autonomous-cars,con,Autonomous Cars,1,TRUE,FALSE
1286,0.3,"Gambling is a form of entertainment. It's no different than going to see a movie. When you exit the movie theatre, or a casino, your money is gone. In both cases, you were entertained.",Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
2940,0.3,Reduces barriers of entry and therefore allows more competition which helps in the long rub,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1,TRUE,FALSE
3411,0.3,Social media enables people to make information that is not true or supported by any evidence publicly known and mistaken by truth,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
5459,0.3,"we would all benefit from living in a less polluted, slightly more expensive environment. but individually, less polluting and more expensive business models can't compete. it's a collective action problem only solvable by the state.",We-should-ban-fossil-fuels,pro,Fossil Fuels,1,TRUE,FALSE
4766,0.3,"We should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction.",We-should-ban-fossil-fuels,pro,Fossil Fuels,1,FALSE,TRUE
2250,0.3,Mchines have better reflexes compared to humans preventing accidents,We-should-promote-autonomous-cars,con,Autonomous Cars,1,TRUE,FALSE
1725,0.3,"If we fail to treat Personal Information data with the same protections as Watson training data, we are an organization of hypocrites. We require it of ourselves, and should demand it of others.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,FALSE,TRUE
2673,0.307692308,Parents of infants can't be vaccinated and they are more exposed to a harsher disease. This hurts them and their children which could also get dick disproportionately and in a likely fashion.,Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1,TRUE,FALSE
4111,0.307692308,"The house always wins, so there is no point in trying to beat a casino",Gambling-should-be-banned,pro,Gambling,1,FALSE,TRUE
2455,0.307692308,Online shopping are good for both physical and no physical market because before buying online people see products in physical ones and maybe there they would buy also something else,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1,TRUE,FALSE
1653,0.307692308,If all my cryptocurrency disappears overnight then who I call... no one and that's the problem.,We-should-abandon-cryptocurrency,con,Cryptocurrency,1,FALSE,TRUE
1707,0.333333333,If the government bans gambling then it will no longer be able to collect high taxes that it puts into public spending.,Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
1460,0.333333333,"Gambling should not be banned. Although I do not gamble, I think the opportunity for others to participate in gambling is important in a free society.",Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
665,0.333333333,"By shopping online, shoppers stay off the roads, making everyone safer.",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1,TRUE,FALSE
3634,0.333333333,Social media is creating a negative sociological impact since most of the commonly watched material is pushed no one validates the sanctity of the information and envisaging the impact it would create on someones mind,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
4152,0.333333333,"The meat industry is a major polluter, If we all become vegetarian we will minimize pollution and help the enviorment.",We-should-adopt-vegetarianism,pro,Vegetarianism,1,TRUE,FALSE
4287,0.4,The way social media is used is corrosive. Used as a sales platform to attract friends by posting a dishonest overwhelmingly positive view of their life. This makes their friends strive to exceed reducing self worth,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
4138,1,The law should have provisions for everyone to be able to easier control what information is shared about them and to whom.,We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,TRUE,FALSE
4594,1,Violation of information privacy may cause severe distress and even trauma. Government should protect the citizens from such violations.,We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,FALSE,TRUE
4740,1,"We need to enforce privacy laws in all AI bot/systems built by companies/Government built using models/data from individual data to not result in discriminatory results to coerce, make political/ financial gain and control our choices.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,TRUE,FALSE
4904,1,"We should support information privacy laws that reasonably support a person's ability to select what, who, with whom and when their private information is shared. This will lead to increased trust in our critical online institutions.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,FALSE,TRUE
5468,1,"while it is true that people share information willingly, they do not consent to selling their information. We need privacy laws to ensure that people give there consent.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,TRUE,FALSE
2655,1,Our information belongs to us and should not be freely used to advertise at us. Laws are ultimately the only way to deter bad practice.,We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,FALSE,TRUE
1690,1,"If limitations are not put in place, companies will be encouraged to gather as much information on individuals as possible in order to monetize it.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,TRUE,FALSE
1716,1,If we accept that people have a right to privacy then it follows that information privacy should also be protected by law.,We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,FALSE,TRUE
855,1,Data privacy laws will ensure every party treats personal data with a bigger sense of responsibility because of the punishable consequences. It will keep us conscious of our actions with data,We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,TRUE,FALSE
1016,1,"Even if one has concerns about the deployment of autonomous cars, stopping their development is unwise because new things can be learned and it is likely they have some future role to play.",We-should-promote-autonomous-cars,con,Autonomous Cars,1,FALSE,TRUE
1728,1,"If we were to stop the development of autonomous cars, we would eliminate an avenue for potentially ending automotive homicide as we currently know it.",We-should-promote-autonomous-cars,con,Autonomous Cars,1,TRUE,FALSE
2171,1,"Machines are just better than humans at executing algorithmic tasks, such as driving. As a consequence, autonomous cars will perform better than human drivers.",We-should-promote-autonomous-cars,con,Autonomous Cars,1,FALSE,TRUE
4619,1,Violent interactions in video games at an early age can promote a disconnect between socially and morally acceptable interactions in real world scenarios.,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,TRUE,FALSE
4659,1,Violent video games may cause minors to view violence as a trivial matter and therefore distort their worldview and saturate their empathy towards real life tragedies.,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,FALSE,TRUE
4661,1,Violent video games normalise actions that are not acceptable in society. Minors are learning what is and is not acceptable and therefore are at greater risk of anti-social behaviour.,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,TRUE,FALSE
5438,1,"violent video games create a false idea of reality in the minor's mind, one in which violence is the common way of solving problems, thus making them more violent",We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,FALSE,TRUE
1715,1,"If violent video games can be shown to cause minors to develop unhealthy behaviors, we have an obligation to ban.",We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,TRUE,FALSE
4765,1,We should ban fossil fuels because burning fossil fuels contributes to global warming.,We-should-ban-fossil-fuels,pro,Fossil Fuels,1,FALSE,TRUE
1720,1,"If we ban fossil fuels, society will have no choice but to adopt clean energy technologies, which would be a step in the right direction for our environment",We-should-ban-fossil-fuels,pro,Fossil Fuels,1,TRUE,FALSE
4886,1,We should not legalize doping in sport because the long term effects of doping are not well understood and there could be serious harms to people's health.,We-should-ban-doping-in-sport,con,Doping in Sport,1,FALSE,TRUE
2115,1,"Legalization of doping will place pressure on individual players to dope since they will be at an automatic disadvantage if they don't, preventing them from having a meaningful choice.",We-should-ban-doping-in-sport,con,Doping in Sport,1,TRUE,FALSE
919,1,"Doping has been illegal for the vast majority of modern sports history, and making it legal now would diminish the accomplishments of athletes of the past.",We-should-ban-doping-in-sport,con,Doping in Sport,1,FALSE,TRUE
1072,1,"Fans are against doping in the vast majority of sports, so legalizing doping would drive away fans of the sport and ultimately hurt the game.",We-should-ban-doping-in-sport,con,Doping in Sport,1,TRUE,FALSE
2265,1,"Meat production and consumption is one of the largest vectors for disease outbreak in many areas, and adopting widespread vegetarianism would alleviate these harms.",We-should-adopt-vegetarianism,pro,Vegetarianism,1,FALSE,TRUE
4157,1,"The meat industry is responsible for a large part of global CO2 emmissions. If a large portion of the population becomes vegetarian, this will be significantly reduced.",We-should-adopt-vegetarianism,pro,Vegetarianism,1,TRUE,FALSE
4760,1,"We should adopt vegetarianism because the livestock industry facilitates the spread of disease from animals to people, such as the avian flu or SARS.",We-should-adopt-vegetarianism,pro,Vegetarianism,1,FALSE,TRUE
565,1,"Banning it will make the games seem more interesting, like a cookie they must not eat. This will make them more likely to download it illegally, or tell their parents to buy it.",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1,TRUE,FALSE
4867,1,"We should not ban the sale of violent video games to minors because the definition of excessive violence is arbitrary and only reflects the values of the reviewer, not society as a whole.",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1,FALSE,TRUE
5428,1,video game content is regulated and proper warnings allow for smart consuming of this media. banning the sale to minors would increase pirating which usually leads to even more violet content,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1,TRUE,FALSE
790,1,Cryptocurrencies can formalize and give rise to markets in regions of the world in which a central monetary authority or government is non-existent or incompetent.,We-should-adopt-cryptocurrency,pro,Cryptocurrency,1,FALSE,TRUE
3036,1,"Since cryptocurrency is a creation of the private sphere, companies can compete to provide the most efficient and versatile crypto to nations.",We-should-adopt-cryptocurrency,pro,Cryptocurrency,1,TRUE,FALSE
4982,1,"While the bank can be hacked physically or digitally, control of cryptocurrency is distributed across millions of computers and therefore much more secure.",We-should-adopt-cryptocurrency,pro,Cryptocurrency,1,FALSE,TRUE
616,1,Bitcoin makes international exchange less expensive because there are lower transaction fees,We-should-adopt-cryptocurrency,pro,Cryptocurrency,1,TRUE,FALSE
3763,1,"Social media primarily shows the posts of people that have similar opinions to you. The result is more eco-chambers, where people aren't aware of other opinions, and therefore a more polarized social discourse.",Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
3368,1,"Social media creates an environment where people are becoming less comfortable interacting with others in real life. This is harming our social abilities and in the end, people feel more lonely.",Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
1980,1,It is easy to voice our opinions online where we don't face the consequences of our words. This has led to a rise in cyber-bullying and real people are being hurt by social media.,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
1067,1,"Fake news can cause misleading information, which results in the world misjudging the situation.",Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
3813,1,Social media sites help employers find employees and job-seekers find work: 96% of recruiters use social media in the recruiting process.,Social-media-brings-more-good-than-harm,con,Social Media,1,FALSE,TRUE
3480,1,Social media has allowed participants in obscure interests to organize and do more impressive things by enabling connections,Social-media-brings-more-good-than-harm,con,Social Media,1,TRUE,FALSE
3276,1,"Social media brings more good than harm because it lets people share their art and music, especially for people who would have been excluded from those industries in past decades.",Social-media-brings-more-good-than-harm,con,Social Media,1,FALSE,TRUE
2626,1,"Online shopping requires transferring important personal data into the virtual space, making it more vulnerable to hackers attacks and misuse of information.",Online-shopping-brings-more-harm-than-good,pro,Online Shopping,1,TRUE,FALSE
1394,1,Gambling is so prevalent in human societies that banning it completely is simply impossible and will only cause the creation of larger community of illegal gambling.,Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
4142,1,"The main benefit of vaccines is to those with suppressed immune systems who can't take them themselves, through herd immunity. Since most people don't have the necessary motive, mandating the vaccine is necessary.",Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1,TRUE,FALSE
2135,0.933333333,Letting people choose what others know about them is important to mental well-being and personal autonomy.,We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,FALSE,TRUE
3147,0.933333333,"Social Media tends to be focused on the highlights of people's lives and creates an unrealistic metric that other people compare themselves to, which may lead to serious mental health issues.",Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
3367,0.933333333,Social media creates an environment of complete distraction and interruption and distracts from progress toward meaningful education and self improvement.,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
3679,0.933333333,"Social media is quickly replacing responsible journalism and is exposing people to unverified and unedited information, thereby accelerating political division and destabilizing world governments.",Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
3224,0.928571429,Social media allows people to self organise and protest against opression. The arab spring was a great example of this.,Social-media-brings-more-good-than-harm,con,Social Media,1,FALSE,TRUE
4938,0.928571429,When gambling is illegal and there is a black market of it the money goes to fund criminal activity and gives organized crime far more power than they would otherwise have,Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
5231,0.923076923,"in 2010, 81% of the 5.5 million car accidents in the US were caused by human error. Autonomous cars can lead to a massive reduction in traffic accidents, injuries, and deaths.",We-should-promote-autonomous-cars,con,Autonomous Cars,1,FALSE,TRUE
147,0.923076923,"An individual's ""Personal"" information ie; Social Security number, personal credit, investment, savings accounts, medical info. etc. must be protected by privacy laws and security to help deter the proliferation of identity theft.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1,TRUE,FALSE
23,0.923076923,"A 2014 peer-reviewed study in the Journal of the American Medical Association found that habitual violent video game playing had a causal link with increased, long-term, aggressive behavior.",We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,FALSE,TRUE
